donch_len,vol_min_mult,tp1_fee_mult,tp2_fee_mult,trades,gross_pnl,fees,net_pnl,win_rate,profit_factor,tp1_hit_pct,tp2_hit_pct,signals,entries,expired,trades_per_month
25,1.5,2.0,4.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
25,1.5,1.5,5.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
25,1.5,2.0,5.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
10,1.0,2.5,3.0,6,1.4923201759162232,6.230274929384828,-4.737954753468605,0.5,1.246643416483678,50.0,50.0,6,6,0,3.0
10,1.0,1.5,4.0,7,1.390787208685364,6.311014481658232,-4.920227272972869,0.2857142857142857,1.339595146974339,71.42857142857143,28.57142857142857,9,7,2,3.5
10,1.0,1.5,3.0,7,0.8866952143108832,6.308998113680733,-5.422302899369851,0.2857142857142857,1.2165086001258074,71.42857142857143,28.57142857142857,9,7,2,3.5
10,1.0,2.0,5.0,7,0.4439223283907888,6.780511378627127,-6.33658905023634,0.2857142857142857,1.0747345886607118,57.14285714285714,28.57142857142857,9,7,2,3.5
10,1.0,2.0,4.0,7,-0.19607767160920775,6.777951378627127,-6.974029050236335,0.2857142857142857,0.9669902070788285,57.14285714285714,28.57142857142857,9,7,2,3.5
10,1.0,2.0,3.0,7,-0.7001696659836881,6.775935010649628,-7.476104676633316,0.2857142857142857,0.8821260192753021,57.14285714285714,28.57142857142857,9,7,2,3.5
30,1.5,2.0,3.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,2.5,4.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,1.5,5.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,2.5,3.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,1.5,3.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,2.0,5.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,1.5,4.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,2.5,5.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
30,1.5,2.0,4.0,2,-5.887574315798286,2.3528994054736136,-8.2404737212719,0.0,0.0,0.0,0.0,3,2,1,1.0
15,1.0,2.0,3.0,6,-4.158948277144031,5.8744424960309765,-10.033390773175006,0.16666666666666666,0.3855438300604416,50.0,16.666666666666664,9,6,3,3.0
15,1.0,1.5,3.0,6,-4.381555796049176,5.874198677003799,-10.255754473052974,0.16666666666666666,0.35265509128532674,50.0,16.666666666666664,9,6,3,3.0
15,1.0,2.0,5.0,6,-5.310427715112131,5.709836578279104,-11.020264293391234,0.0,0.2154206166734501,50.0,0.0,9,6,3,3.0
15,1.0,2.0,4.0,6,-5.310427715112131,5.709836578279104,-11.020264293391234,0.0,0.2154206166734501,50.0,0.0,9,6,3,3.0
15,1.0,1.5,5.0,6,-5.5330352340172775,5.709592759251926,-11.242627993269203,0.0,0.1825318778983353,50.0,0.0,9,6,3,3.0
15,1.0,1.5,4.0,6,-5.5330352340172775,5.709592759251926,-11.242627993269203,0.0,0.1825318778983353,50.0,0.0,9,6,3,3.0
15,1.0,2.5,3.0,6,-6.438572883449641,6.337485499180531,-12.776058382630172,0.16666666666666666,0.2813013349725643,33.33333333333333,16.666666666666664,9,6,3,3.0
15,1.0,2.5,4.0,6,-7.590052321417742,6.172879581428658,-13.7629319028464,0.0,0.1527687005122979,33.33333333333333,0.0,9,6,3,3.0
15,1.0,2.5,5.0,6,-7.590052321417742,6.172879581428658,-13.7629319028464,0.0,0.1527687005122979,33.33333333333333,0.0,9,6,3,3.0
30,1.0,2.5,5.0,4,-9.62540285175199,4.722996777185984,-14.348399628937972,0.0,0.0,0.0,0.0,7,4,3,2.0
