time,low,high,open,close,volume
2026-01-29 05:50:00,88029.43,88118.0,88105.91,88050.3,7.35995521
2026-01-29 05:55:00,87999.34,88072.49,88050.29,88047.94,18.83326563
2026-01-29 06:00:00,88028.79,88154.1,88047.95,88145.82,24.21964892
2026-01-29 06:05:00,88122.48,88196.25,88145.82,88122.48,18.89065363
2026-01-29 06:10:00,88058.35,88131.24,88122.49,88117.8,6.96914178
2026-01-29 06:15:00,88110.0,88181.5,88117.79,88111.11,6.55954101
2026-01-29 06:20:00,88063.32,88111.12,88111.11,88072.81,7.13362926
2026-01-29 06:25:00,88042.5,88155.9,88072.82,88155.02,14.03684269
2026-01-29 06:30:00,88155.01,88199.99,88155.01,88181.98,7.29068603
2026-01-29 06:35:00,88126.0,88199.28,88181.98,88181.99,10.65216513
2026-01-29 06:40:00,88162.02,88200.0,88178.8,88184.01,11.34663747
2026-01-29 06:45:00,88102.51,88199.0,88184.01,88178.5,13.00478993
2026-01-29 06:50:00,88131.5,88182.25,88179.72,88160.4,5.52185863
2026-01-29 06:55:00,88146.62,88182.25,88160.4,88170.55,6.87979445
2026-01-29 07:00:00,88169.85,88241.51,88170.55,88231.98,5.21184858
2026-01-29 07:05:00,88205.26,88249.99,88231.98,88205.27,4.72429328
2026-01-29 07:10:00,88153.97,88205.34,88205.28,88188.18,12.83593226
2026-01-29 07:15:00,88118.07,88188.2,88188.18,88146.39,12.45945138
2026-01-29 07:20:00,88131.25,88199.28,88146.39,88199.28,10.64141933
2026-01-29 07:25:00,88111.1,88206.9,88199.28,88124.75,9.09296792
2026-01-29 07:30:00,88116.66,88177.99,88124.75,88177.99,5.90714997
2026-01-29 07:35:00,88134.47,88225.95,88177.99,88151.83,9.75705254
2026-01-29 07:40:00,88103.35,88206.82,88151.82,88206.82,14.82235182
2026-01-29 07:45:00,88155.2,88270.18,88208.85,88265.0,21.34521406
2026-01-29 07:50:00,88166.0,88269.2,88269.2,88267.31,14.2406329
2026-01-29 07:55:00,88160.41,88297.88,88267.31,88218.02,20.30973254
2026-01-29 08:00:00,88126.15,88218.02,88218.02,88126.17,16.69057842
2026-01-29 08:05:00,87851.0,88126.16,88126.16,87872.96,29.51908412
2026-01-29 08:10:00,87819.68,87919.66,87872.96,87824.0,19.27119157
2026-01-29 08:15:00,87764.75,87871.47,87824.0,87854.22,15.73603168
2026-01-29 08:20:00,87849.36,87936.83,87854.22,87936.83,16.1726335
2026-01-29 08:25:00,87936.82,88317.88,87936.82,88297.0,15.0251057
2026-01-29 08:30:00,88136.34,88349.2,88296.55,88148.0,48.59029532
2026-01-29 08:35:00,88042.11,88150.0,88147.99,88094.51,14.67848625
2026-01-29 08:40:00,87937.37,88100.0,88094.5,87985.44,19.01417676
2026-01-29 08:45:00,87891.0,88068.05,87985.43,87891.0,38.99886247
2026-01-29 08:50:00,87791.88,87891.0,87891.0,87854.69,6.71750345
2026-01-29 08:55:00,87850.5,87950.53,87854.7,87913.43,16.80238088
2026-01-29 09:00:00,87871.5,88009.33,87913.44,87997.17,18.90984299
2026-01-29 09:05:00,87878.53,87998.49,87998.48,87908.21,24.8654572
2026-01-29 09:10:00,87839.49,87912.54,87910.0,87854.75,14.69404782
2026-01-29 09:15:00,87853.25,87912.34,87854.74,87899.72,10.1025847
2026-01-29 09:20:00,87871.98,87922.26,87899.71,87907.68,7.52286173
2026-01-29 09:25:00,87870.09,87912.54,87907.68,87871.71,9.75612276
2026-01-29 09:30:00,87810.01,87872.0,87871.71,87845.04,18.22359775
2026-01-29 09:35:00,87838.09,87975.46,87845.04,87960.09,17.98458307
