Trade#,Symbol,Type,Side,Entry Time,Entry Price,Entry Fee,Exit Time,Exit Price,Exit Fee,Size,Gross P&L,Net P&L,Return %,Hold Hours,Exit Reason,Peak Price,Peak ROC
2181,ZORA-USD,roc_momentum,buy,2026-01-03 12:42:00+00:00,0.04456,0.25,2026-01-03 12:43:00+00:00,0.04449,0.2496072710951526,561.0412926391382,-0.039272890484740024,-0.5388801615798926,-0.1570915619389601,0.016666666666666666,roc_reversal,0.04456,-0.46906410542773
2182,ZORA-USD,roc_momentum,buy,2026-01-03 12:43:00+00:00,0.04449,0.25,2026-01-03 12:44:00+00:00,0.04438,0.24938188356934143,561.9240278714318,-0.061811643065856924,-0.5611935266351984,-0.2472465722634277,0.016666666666666666,roc_reversal,0.04449,-0.5365526492286943
2183,ZORA-USD,roc_momentum,buy,2026-01-03 12:44:00+00:00,0.04438,0.25,2026-01-03 12:45:00+00:00,0.04432,0.24966200991437582,563.3168093735917,-0.033799008562418034,-0.5334610184767938,-0.13519603424967214,0.016666666666666666,roc_reversal,0.04438,-0.782472613458518
2184,ZORA-USD,roc_momentum,buy,2026-01-03 12:45:00+00:00,0.04432,0.25,2026-01-03 12:46:00+00:00,0.04438,0.2503384476534296,564.0794223826715,0.033844765342962824,-0.4664936823104668,0.1353790613718513,0.016666666666666666,roc_reversal,0.04438,-0.715883668903794
2185,ZORA-USD,roc_momentum,buy,2026-01-03 12:46:00+00:00,0.04438,0.25,2026-01-03 12:47:00+00:00,0.04427,0.249380351509689,563.3168093735917,-0.061964849031098425,-0.5613452005407874,-0.2478593961243937,0.016666666666666666,roc_reversal,0.04438,-0.6508078994614142
2186,ZORA-USD,roc_momentum,buy,2026-01-03 12:49:00+00:00,0.04438,0.25,2026-01-03 12:50:00+00:00,0.04429,0.24949301487156378,563.3168093735917,-0.05069851284362314,-0.5501915277151869,-0.20279405137449255,0.016666666666666666,roc_reversal,0.04438,
2187,CVX-USD,roc_momentum,buy,2026-01-03 22:34:00+00:00,2.529,0.25,2026-01-03 22:37:00+00:00,2.504,0.24752866745749308,9.885330170027679,-0.2471332542506911,-0.7446619217081842,-0.9885330170027644,0.05,roc_peak_drop,2.531,0.9233239662785886
2188,CVX-USD,roc_momentum,buy,2026-01-03 22:37:00+00:00,2.504,0.25,2026-01-03 22:39:00+00:00,2.504,0.25,9.984025559105431,0.0,-0.5,0.0,0.03333333333333333,roc_peak_drop,2.514,0.2792181890705958
2189,CVX-USD,roc_momentum,buy,2026-01-03 22:39:00+00:00,2.504,0.25,2026-01-03 22:40:00+00:00,2.494,0.24900159744408948,9.984025559105431,-0.09984025559105218,-0.5988418530351417,-0.39936102236420873,0.016666666666666666,roc_reversal,2.504,-0.9885330170027684
2190,CVX-USD,roc_momentum,buy,2026-01-03 22:40:00+00:00,2.494,0.25,2026-01-03 22:41:00+00:00,2.494,0.25,10.024057738572573,0.0,-0.5,0.0,0.016666666666666666,roc_reversal,2.494,-0.7955449482895616
