symbol,time,signal_price,roc,roc_score,vol_ratio,atr_fast_pct,close_1h,ema50_1h,trend_ok,fwd_15m,fwd_30m,fwd_1h,fwd_2h,fwd_4h,mfe_15m,mfe_30m,mfe_1h,mfe_2h,mfe_4h
SOL-USD,2026-01-12 00:30:00,140.49,0.01036520858665211,1.922873715111739,2.3858856461201463,0.005390478066860352,139.5,137.2762957216485,True,-0.0031318955085771066,0.004341946045981815,0.008399174318456675,0.010392198733005762,0.013808812015090025,0.0028471777350699496,0.004911381592995926,0.009253327638977741,0.015517118656131954,0.026194035162644874
BTC-USD,2026-01-12 01:00:00,91120.0,0.0038710777453418495,1.4374509785019687,2.0961491472912925,0.0026930154859096975,91120.0,90678.50883950297,True,0.003063432835820889,0.00280937225636529,0.0017586698858647937,0.010579565408252795,0.0101119402985074,0.00614596136962252,0.00614596136962252,0.00614596136962252,0.012516352063213403,0.014116549604916626
ETH-USD,2026-01-12 02:30:00,3141.05,0.005884437080098804,1.4270958210170261,2.844988443226384,0.00412336508413656,3120.63,3105.264430359193,True,0.0011429299119720127,0.004071886789449376,0.00595660686713043,0.0032982601359416983,0.003963642730933865,0.0021171264386111764,0.00739879976440992,0.008347527100810175,0.008347527100810175,0.008347527100810175
LINK-USD,2026-01-12 02:30:00,13.375,0.012193426136259313,2.1250670178999758,2.828781540669818,0.005737901926645611,13.287,13.207806660351014,True,0.0014953271028037064,0.0032897196261682604,0.008224299065420519,0.0,-0.0018691588785046994,0.002691588785046698,0.005831775700934535,0.009345794392523364,0.009345794392523364,0.009345794392523364
DOGE-USD,2026-01-12 03:00:00,0.14135,0.020812859241790903,3.155859674906526,2.2411160655174243,0.006594988809953142,0.14135,0.13953797569286538,True,0.0025468694729395064,0.0019101521047045805,-0.008206579412805054,-0.005235231694375597,-0.013795542978422407,0.003395825963919407,0.005588963565617157,0.005588963565617157,0.005588963565617157,0.005588963565617157
AVAX-USD,2026-01-12 03:45:00,13.99,0.01831170863059676,2.8753066102547855,3.487326460566705,0.0063686107649486914,14.04,13.811394845558315,True,-0.0014295925661186256,0.0014295925661186256,0.0007147962830593128,-0.0021443888491779386,-0.015725518227305262,0.0007147962830593128,0.0021443888491779386,0.0028591851322372513,0.0028591851322372513,0.0028591851322372513
SOL-USD,2026-01-12 15:30:00,141.27,0.00587359000802702,1.12862352638906,2.2318082567501905,0.005204206602727038,140.28,138.80783002693153,True,0.005662914985488659,0.008282013166277252,0.017908968641608274,0.007007857294542228,-0.0038224676152050713,0.007786508105047032,0.01097189778438439,0.01897076520138726,0.024279748000282993,0.024279748000282993
BTC-USD,2026-01-12 16:00:00,91579.72,0.007462107682188845,2.178724498656986,2.5213391832218,0.0034249891102746833,91579.72,90872.98354961105,True,0.0015565673273515458,0.006227470448697568,0.0052633923755172445,-0.0016074519555203531,0.0022320443871198066,0.002405336028544298,0.006500238262357579,0.007400655953086557,0.007400655953086557,0.007400655953086557
XRP-USD,2026-01-12 16:15:00,2.0928,0.018536008368844753,3.880487080416889,2.1429470560444956,0.004776722093055749,2.0917,2.0784268324096367,True,0.005781727828746283,0.0004778287461773174,-0.003153669724770719,-0.011276758409785963,-0.010751146788990808,0.0062117737003057625,0.006737385321100918,0.006737385321100918,0.006737385321100918,0.006737385321100918
DOT-USD,2026-01-12 17:00:00,2.086,0.022829876025782063,3.3334346975980913,2.042087658136193,0.00684875454204402,2.086,2.085566223867152,True,-0.0014381591562798034,-0.007190795781399656,-0.007190795781399656,-0.009108341323106273,-0.013902205177372923,0.0038350910834132348,0.0038350910834132348,0.0038350910834132348,0.0038350910834132348,0.0038350910834132348
DOGE-USD,2026-01-12 17:45:00,0.13768,0.010334764481558992,1.5389102448869811,2.3789558775431594,0.0067156382354956546,0.13918,0.1387878246159005,True,0.0014526438117374036,0.006173736199883714,0.0007263219058688026,0.002033701336432325,-0.009877977919814063,0.001961069145845384,0.00864323067983728,0.00871586287042422,0.00871586287042422,0.00871586287042422
BTC-USD,2026-01-13 05:30:00,91982.0,0.005526576665293426,2.2974715531867824,3.462046153230916,0.002405503849493853,91406.77,91063.54076967771,True,-0.001565632406340314,-0.0017586049444455955,-0.0021530299406404903,-0.0007174229740601991,0.005226783501119828,0.0003590919962601252,0.0003590919962601252,0.0003590919962601252,0.002239568611250027,0.006609988910873867
ETH-USD,2026-01-13 05:30:00,3136.5,0.007885933404796548,2.6900245743950473,2.2478379588188417,0.002931546975391478,3118.47,3109.6321859472123,True,-0.0014347202295552368,-0.0026462617567352725,-0.0033317391997448806,-0.0037175195281364116,0.0011158935118762952,0.0007141718476007593,0.0007141718476007593,0.0007141718476007593,0.0007141718476007593,0.002770604176630019
ADA-USD,2026-01-13 06:15:00,0.3914,0.012348574696699546,2.450031033161317,2.027180759995465,0.005040170728272763,0.3914,0.39007978434996515,True,-0.002043944813490094,-0.0028104241185489148,-0.0015329586101176416,-0.002043944813490094,0.0035769034236074523,0.0012774655084312734,0.0012774655084312734,0.002554931016862547,0.002554931016862547,0.00919775166070514
LINK-USD,2026-01-13 06:15:00,13.193,0.00731490998649819,1.960916901514117,2.6213964142773896,0.0037303518475719196,13.194,13.172605890946908,True,-0.0011369665731826568,0.00015159554309108374,0.0,0.0,0.005002652922004148,0.0008337754870007587,0.0025013264610021413,0.0037140908057304075,0.0037140908057304075,0.008337754870006913
DOGE-USD,2026-01-13 07:00:00,0.1389,0.010834530876311602,2.5806216959874413,3.146291276582032,0.00419841888997446,0.1389,0.1381829522312436,True,-0.002159827213822856,-0.00359971202303816,-0.003167746580273549,0.0046796256299496885,0.0023038156947445265,-7.199424046063532e-05,-7.199424046063532e-05,-7.199424046063532e-05,0.006551475881929404,0.009215262778977707
BTC-USD,2026-01-13 09:30:00,92462.77,0.003359624442021137,1.486453212792458,3.87141926422262,0.00226016158000004,92076.41,91195.71045483777,True,-0.004419508522186815,-0.00299006832696015,-0.0032105895161912254,-0.0038338674041455303,-0.004464175148549022,0.00021186905821658281,0.00021186905821658281,0.00021186905821658281,0.00021186905821658281,0.00021186905821658281
SOL-USD,2026-01-13 09:30:00,142.19,0.009846008458331279,2.3550277105911226,2.1634436252893052,0.0041808461166089154,141.42,139.38279004320302,True,-0.005977916871791225,-0.002883465785216939,-0.000703284337857756,-0.004501019762289798,-0.0007736127716434716,0.000703284337857756,0.000703284337857756,0.0019691961460018364,0.0019691961460018364,0.0019691961460018364
AVAX-USD,2026-01-13 09:30:00,13.84,0.00614684241488769,1.8077489543621112,2.543244682343879,0.0034002743578168387,13.79,13.709075806407398,True,-0.003612716763005832,-0.003612716763005832,-0.004335260115606972,-0.005057803468208113,-0.0014450867052022813,0.0,0.0,0.0,0.0,0.0
DOT-USD,2026-01-13 13:15:00,2.107,0.008083011081585207,1.8505213908314366,4.245796245143234,0.004367964143312886,2.105,2.080222395244648,True,0.003322259136212469,0.0151874703369718,0.029425723777883165,0.041290934978642495,0.06691979117228286,0.0037968675842430027,0.0151874703369718,0.029425723777883165,0.055054579971523326,0.11058376839107718
LINK-USD,2026-01-13 13:30:00,13.305,0.0029024921756200684,1.0094197631254396,2.057134679444119,0.002875406527244086,13.268,13.188121220890643,True,0.0018038331454341158,0.0007515971439308371,0.010522360015031986,0.007515971439308504,0.021871476888387854,0.006313416009019138,0.006313416009019138,0.011273957158962823,0.014656144306651657,0.026681698609545317
ADA-USD,2026-01-13 13:45:00,0.3953,0.005674630597772455,1.3620546844247248,6.779298956558321,0.0041662281717926635,0.3929,0.3904995296846046,True,-0.004047558816089022,-0.0007589172780166127,0.0149253731343284,0.017455097394384056,0.02656210473058439,0.00025297242600553756,0.00025297242600553756,0.01821401467240081,0.019478876802428637,0.03946369845686821
AVAX-USD,2026-01-13 13:45:00,13.89,0.004186552484044057,1.2867488552575281,6.28356483525312,0.0032535894373934894,13.79,13.719550085482041,True,-0.002159827213822976,-0.000719942404607616,0.010799136069114368,0.029517638588912896,0.044636429085673085,0.0,0.0,0.01367890568754496,0.03311735061195097,0.05111591072714176
